Sl. No.,Journal name,2022 JIF
5420,JOURNAL OF THE INDIAN INSTITUTE OF SCIENCE,2.3
5421,Journal of the Society for Information Display,2.3
5422,Journal of Transportation Engineering Part B-Pavements,2.3
5423,JOURNAL OF ULTRASOUND IN MEDICINE,2.3
5424,JOURNAL OF VESTIBULAR RESEARCH-EQUILIBRIUM & ORIENTATION,2.3
5425,JOURNAL OF WATER AND HEALTH,2.3
5426,Journal of Water Reuse and Desalination,2.3
5427,JOURNAL OF WILDLIFE MANAGEMENT,2.3
5428,Landbauforschung-Journal of Sustainable and Organic Agricultural Systems,2.3
5429,LANGENBECKS ARCHIVES OF SURGERY,2.3
5430,Language Cognition and Neuroscience,2.3
5431,MAGNETIC RESONANCE MATERIALS IN PHYSICS BIOLOGY AND MEDICINE,2.3
5432,MARINE MAMMAL SCIENCE,2.3
5433,Materials Research Express,2.3
5434,Medicinal Chemistry,2.3
5435,MICROELECTRONIC ENGINEERING,2.3
5436,Mini-Reviews in Organic Chemistry,2.3
5437,Musculoskeletal Science and Practice,2.3
5438,MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,2.3
5439,NAVAL RESEARCH LOGISTICS,2.3
5440,NEUROIMAGING CLINICS OF NORTH AMERICA,2.3
5441,NEUROPATHOLOGY,2.3
5442,Nursing Inquiry,2.3
5443,Nursing Open,2.3
5444,OCEAN DYNAMICS,2.3
5445,Open Chemistry,2.3
5446,Operative Neurosurgery,2.3
5447,Organogenesis,2.3
5448,Ornithology,2.3
5449,Orthopaedics & Traumatology-Surgery & Research,2.3
5450,PAKISTAN VETERINARY JOURNAL,2.3
5451,Papers in Palaeontology,2.3
5452,PEDIATRIC RADIOLOGY,2.3
5453,PEDOBIOLOGIA,2.3
5454,Personalized Medicine,2.3
5455,PERSPECTIVES IN PSYCHIATRIC CARE,2.3
5456,PHYSICIAN AND SPORTSMEDICINE,2.3
5457,PHYSICS OF THE EARTH AND PLANETARY INTERIORS,2.3
5458,Plant Pathology Journal,2.3
5459,Prion,2.3
5460,PSYCHIATRY RESEARCH-NEUROIMAGING,2.3
5461,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN,2.3
5462,QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,2.3
5463,QUATERNARY RESEARCH,2.3
5464,Rangeland Ecology & Management,2.3
5465,Remote Sensing Letters,2.3
5466,Respiratory Medicine and Research,2.3
5467,RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY,2.3
5468,RHEOLOGICA ACTA,2.3
5469,RHEUMATIC DISEASE CLINICS OF NORTH AMERICA,2.3
5470,RIVISTA ITALIANA DI PALEONTOLOGIA E STRATIGRAFIA,2.3
5471,SEMINARS IN DIAGNOSTIC PATHOLOGY,2.3
5472,Sexual Development,2.3
5473,Signal Image and Video Processing,2.3
5474,Soil and Water Research,2.3
5475,Spanish Journal of Psychology,2.3
5476,Spatial Statistics,2.3
5477,STARCH-STARKE,2.3
5478,STATISTICAL METHODS IN MEDICAL RESEARCH,2.3
5479,STRESS-THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS,2.3
5480,SURGICAL ONCOLOGY-OXFORD,2.3
5481,SYNAPSE,2.3
5482,TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,2.3
5483,TEXTILE RESEARCH JOURNAL,2.3
5484,Toxicological Research,2.3
5485,TREES-STRUCTURE AND FUNCTION,2.3
5486,Turkish Journal Of Medical Sciences,2.3
5487,ULTRASONIC IMAGING,2.3
5488,Water Quality Research Journal,2.3
5489,ZAMM-Zeitschrift fur Angewandte Mathematik und Mechanik,2.3
5490,ACM Journal on Emerging Technologies in Computing Systems,2.2
5491,ACTA ASTRONOMICA,2.2
5492,Acta Crystallographica Section D-Structural Biology,2.2
5493,ACTA MECHANICA SOLIDA SINICA,2.2
5494,Advances in Applied Ceramics,2.2
5495,Agricultural Economics-Zemedelska Ekonomika,2.2
5496,AGROFORESTRY SYSTEMS,2.2
5497,AIDS Research and Therapy,2.2
5498,AIDS REVIEWS,2.2
5499,AIMS Mathematics,2.2
5500,American Journal of Translational Research,2.2
5501,Analysis & PDE,2.2
5502,Analysis and Applications,2.2
5503,Animal Bioscience,2.2
5504,ANIMAL REPRODUCTION SCIENCE,2.2
5505,ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER,2.2
5506,ANNALS OF CLINICAL BIOCHEMISTRY,2.2
5507,Applied Bionics and Biomechanics,2.2
5508,APPLIED NURSING RESEARCH,2.2
5509,Aquaculture Environment Interactions,2.2
5510,Archaeological and Anthropological Sciences,2.2
5511,ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,2.2
5512,Asian Nursing Research,2.2
5513,Australian Journal of General Practice,2.2
5514,BIOETHICS,2.2
5515,Biomarkers in Medicine,2.2
5516,BMC Anesthesiology,2.2
5517,BMC Ecology and Evolution,2.2
5518,BOREAS,2.2
5519,BOTANICA MARINA,2.2
5520,BRAZILIAN JOURNAL OF MICROBIOLOGY,2.2
5521,Brazilian Journal of Otorhinolaryngology,2.2
5522,CANADIAN JOURNAL OF FOREST RESEARCH,2.2
5523,Canadian Respiratory Journal,2.2
5524,CANCER JOURNAL,2.2
5525,CHEMICAL PAPERS,2.2
5526,CHILD NEUROPSYCHOLOGY,2.2
5527,CHINESE JOURNAL OF STRUCTURAL CHEMISTRY,2.2
5528,CLAYS AND CLAY MINERALS,2.2
5529,Clinical Medicine Insights-Oncology,2.2
5530,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,2.2
5531,COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,2.2
5532,COMPUTER,2.2
5533,COMPUTER SYSTEMS SCIENCE AND ENGINEERING,2.2
5534,CONSERVATION GENETICS,2.2
5535,Contemporary Clinical Trials,2.2
5536,CONTRIBUTIONS TO ZOOLOGY,2.2
5537,COPD-Journal of Chronic Obstructive Pulmonary Disease,2.2
5538,Current Opinion in Organ Transplantation,2.2
5539,Current Zoology,2.2
5540,CYTOTECHNOLOGY,2.2
5541,Developing World Bioethics,2.2
5542,DEVELOPMENTAL PSYCHOBIOLOGY,2.2
5543,DISABILITY AND REHABILITATION,2.2
5544,Discover Oncology,2.2
5545,ECOLOGICAL ENTOMOLOGY,2.2
5546,ECS Journal of Solid State Science and Technology,2.2
5547,Emerging Materials Research,2.2
5548,ENVIRONMENTAL FLUID MECHANICS,2.2
5549,Environmental Geotechnics,2.2
5550,EPILEPSY RESEARCH,2.2
5551,EQUINE VETERINARY JOURNAL,2.2
5552,EXPERIMENTAL AND APPLIED ACAROLOGY,2.2
5553,Familial Cancer,2.2
5554,FAMILY PRACTICE,2.2
5555,FETAL DIAGNOSIS AND THERAPY,2.2
5556,FLOW MEASUREMENT AND INSTRUMENTATION,2.2
5557,Forensic Science International,2.2
5558,Forensic Toxicology,2.2
5559,Fottea,2.2
5560,GEOMETRIC AND FUNCTIONAL ANALYSIS,2.2
5561,GOLD BULLETIN,2.2
5562,Greenhouse Gases-Science and Technology,2.2
5563,HEALTH PHYSICS,2.2
5564,HEAT AND MASS TRANSFER,2.2
5565,HORMONE AND METABOLIC RESEARCH,2.2
5566,IEEE TECHNOLOGY AND SOCIETY MAGAZINE,2.2
5567,IEEE Transactions on Components Packaging and Manufacturing Technology,2.2
5568,Injury Epidemiology,2.2
5569,International Agrophysics,2.2
5570,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,2.2
5571,International Journal of Biomathematics,2.2
5572,International Journal of Immunogenetics,2.2
5573,INTERNATIONAL JOURNAL OF MODERN PHYSICS D,2.2
5574,International Journal of Naval Architecture and Ocean Engineering,2.2
5575,INTERNATIONAL JOURNAL OF NEUROSCIENCE,2.2
5576,International Journal of Older People Nursing,2.2
5577,INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,2.2
5578,INTERNATIONAL JOURNAL OF THERMOPHYSICS,2.2
5579,INTERNATIONAL JOURNAL OF TOXICOLOGY,2.2
5580,INVERTEBRATE SYSTEMATICS,2.2
5581,Iranian Journal of Basic Medical Sciences,2.2
5582,Islets,2.2
5583,Italian Journal of Agronomy,2.2
5584,JAPANESE JOURNAL OF INFECTIOUS DISEASES,2.2
5585,JOURNAL OF ADHESION,2.2
5586,JOURNAL OF AIRCRAFT,2.2
5587,Journal of Applied Mathematics and Computing,2.2
5588,JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY,2.2
5589,JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,2.2
5590,JOURNAL OF CLINICAL MONITORING AND COMPUTING,2.2
5591,Journal of Computational Biophysics and Chemistry,2.2
5592,Journal of Computer Languages,2.2
5593,JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,2.2
5594,JOURNAL OF ECONOMIC ENTOMOLOGY,2.2
5595,JOURNAL OF ENERGY ENGINEERING,2.2
5596,JOURNAL OF ENVIRONMENTAL ENGINEERING,2.2
5597,JOURNAL OF EUKARYOTIC MICROBIOLOGY,2.2
5598,JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,2.2
5599,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,2.2
5600,JOURNAL OF GREAT LAKES RESEARCH,2.2
5601,JOURNAL OF IMMUNOLOGICAL METHODS,2.2
5602,JOURNAL OF INFECTION AND CHEMOTHERAPY,2.2
5603,JOURNAL OF INSECT PHYSIOLOGY,2.2
5604,JOURNAL OF INSECT SCIENCE,2.2
5605,JOURNAL OF MAGNETIC RESONANCE,2.2
5606,Journal of Maps,2.2
5607,Journal of Mass Spectrometry and Advances in the Clinical Lab,2.2
5608,JOURNAL OF MICROBIOLOGICAL METHODS,2.2
5609,JOURNAL OF MOLECULAR MODELING,2.2
5610,Journal of Neuropsychology,2.2
5611,Journal of Patient Safety,2.2
5612,Journal of Petroleum Exploration and Production Technology,2.2
5613,JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY,2.2
5614,JOURNAL OF PLANT PATHOLOGY,2.2
5615,JOURNAL OF SCHOOL HEALTH,2.2
5616,Journal of Stomatology Oral and Maxillofacial Surgery,2.2
5617,Journal of Sulfur Chemistry,2.2
5618,JOURNAL OF SURGICAL RESEARCH,2.2
5619,Journal of the Brazilian Society of Mechanical Sciences and Engineering,2.2
5620,JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND,2.2
5621,Journal of Tropical Medicine,2.2
5622,JOURNAL OF VOICE,2.2
5623,JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,2.2
5624,KSCE Journal of Civil Engineering,2.2
5625,LIQUID CRYSTALS,2.2
5626,MARINE GEORESOURCES & GEOTECHNOLOGY,2.2
5627,Mathematical Modelling of Natural Phenomena,2.2
5628,MEDICAL ENGINEERING & PHYSICS,2.2
5629,Medicina Oral Patologia Oral y Cirugia Bucal,2.2
5630,MELANOMA RESEARCH,2.2
5631,METEORITICS & PLANETARY SCIENCE,2.2
5632,MICROBES AND ENVIRONMENTS,2.2
5633,MICROELECTRONICS JOURNAL,2.2
5634,Modern Rheumatology,2.2
5635,MOLECULAR VISION,2.2
5636,NATURAL PRODUCT RESEARCH,2.2
5637,Navigation-Journal of the Institute of Navigation,2.2
5638,NEUROGENETICS,2.2
5639,NEW FORESTS,2.2
5640,NEW ZEALAND JOURNAL OF GEOLOGY AND GEOPHYSICS,2.2
5641,NEWSLETTERS ON STRATIGRAPHY,2.2
5642,NONLINEAR PROCESSES IN GEOPHYSICS,2.2
5643,Nursing Philosophy,2.2
5644,Open Life Sciences,2.2
5645,OPERATIVE DENTISTRY,2.2
5646,Optical Switching and Networking,2.2
5647,OPTIMIZATION,2.2
5648,OPTIMIZATION METHODS & SOFTWARE,2.2
5649,Oral Radiology,2.2
5650,OXIDATION OF METALS,2.2
5651,Paddy and Water Environment,2.2
5652,Pakistan Journal of Medical Sciences,2.2
5653,PARASITE IMMUNOLOGY,2.2
5654,PATHOLOGY INTERNATIONAL,2.2
5655,Patient Preference and Adherence,2.2
5656,PERFORMANCE EVALUATION,2.2
5657,Physical Communication,2.2
5658,PHYSICS OF PLASMAS,2.2
5659,PLASMA PHYSICS AND CONTROLLED FUSION,2.2
5660,POLYMER SCIENCE SERIES C,2.2
5661,Pregnancy Hypertension-An International Journal of Womens Cardiovascular Health,2.2
5662,Prehospital and Disaster Medicine,2.2
5663,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-GEOTECHNICAL ENGINEERING,2.2
5664,QUATERNARY INTERNATIONAL,2.2
5665,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,2.2
5666,RESEARCH-TECHNOLOGY MANAGEMENT,2.2
5667,Results in Mathematics,2.2
5668,REVISTA CHILENA DE HISTORIA NATURAL,2.2
5669,RIVER RESEARCH AND APPLICATIONS,2.2
5670,SAMJ SOUTH AFRICAN MEDICAL JOURNAL,2.2
5671,SCANDINAVIAN CARDIOVASCULAR JOURNAL,2.2
5672,Seminars in Oncology Nursing,2.2
5673,SHOCK WAVES,2.2
5674,SIAM JOURNAL ON CONTROL AND OPTIMIZATION,2.2
5675,SKIN RESEARCH AND TECHNOLOGY,2.2
5676,SPINAL CORD,2.2
5677,Sports Biomechanics,2.2
5678,STATISTICS AND COMPUTING,2.2
5679,STEEL RESEARCH INTERNATIONAL,2.2
5680,STRUCTURAL ENGINEERING AND MECHANICS,2.2
5681,TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,2.2
5682,Topics in Stroke Rehabilitation,2.2
5683,TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE,2.2
5684,TRANSFUSION MEDICINE AND HEMOTHERAPY,2.2
5685,TURKISH JOURNAL OF BIOLOGY,2.2
5686,ULTRAMICROSCOPY,2.2
5687,VETERINARY JOURNAL,2.2
5688,VETERINARY RECORD,2.2
5689,VETERINARY RESEARCH COMMUNICATIONS,2.2
5690,VIRAL IMMUNOLOGY,2.2
5691,Water Resources and Economics,2.2
5692,Weather Climate and Society,2.2
5693,WEB ECOLOGY,2.2
5694,WELDING JOURNAL,2.2
5695,WIRELESS PERSONAL COMMUNICATIONS,2.2
5696,Wood Material Science & Engineering,2.2
5697,ZEITSCHRIFT FUR GEOMORPHOLOGIE,2.2
5698,ACTA ANAESTHESIOLOGICA SCANDINAVICA,2.1
5699,ACTA VETERINARIA SCANDINAVICA,2.1
5700,Advances in Clinical and Experimental Medicine,2.1
5701,Advances in Mechanical Engineering,2.1
5702,ADVANCES IN PHYSIOLOGY EDUCATION,2.1
5703,Advances in Weed Science,2.1
5704,AGRONOMY JOURNAL,2.1
5705,AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,2.1
5706,ALZHEIMER DISEASE & ASSOCIATED DISORDERS,2.1
5707,ANALES DE PEDIATRIA,2.1
5708,ANNALI DELL ISTITUTO SUPERIORE DI SANITA,2.1
5709,APPLIED PHYSICS B-LASERS AND OPTICS,2.1
5710,Archives of Budo,2.1
5711,Archives of Iranian Medicine,2.1
5712,Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology,2.1
5713,ASSEMBLY AUTOMATION,2.1
5714,AUSTRALIAN DENTAL JOURNAL,2.1
5715,AUSTRALIAN FORESTRY,2.1
5716,BEST PRACTICE & RESEARCH CLINICAL HAEMATOLOGY,2.1
5717,Biofuels-UK,2.1
5718,Biointerphases,2.1
5719,Biologia Futura,2.1
5720,BIOPHARMACEUTICS & DRUG DISPOSITION,2.1
5721,BIOSTATISTICS,2.1
5722,BIOTROPICA,2.1
5723,Birth Defects Research,2.1
5724,BMC Cardiovascular Disorders,2.1
5725,Breast Care,2.1
5726,Breast Journal,2.1
5727,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,2.1
5728,CANADIAN JOURNAL OF CHEMICAL ENGINEERING,2.1
5729,CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY,2.1
5730,Cardiology in Review,2.1
5731,Cardiology Research and Practice,2.1
5732,CARYOLOGIA,2.1
5733,CHEMICAL ENGINEERING & TECHNOLOGY,2.1
5734,ChemistrySelect,2.1
5735,Clinical and Translational Imaging,2.1
5736,CLINICAL HEMORHEOLOGY AND MICROCIRCULATION,2.1
5737,Clinical Imaging,2.1
5738,Clinical Mass Spectrometry,2.1
5739,CLINICAL OTOLARYNGOLOGY,2.1
5740,CLINICAL TRANSPLANTATION,2.1
5741,CLINICS IN PERINATOLOGY,2.1
5742,Communications in Applied Mathematics and Computational Science,2.1
5743,Computational Methods and Function Theory,2.1
5744,Computer Assisted Surgery,2.1
5745,COMPUTING IN SCIENCE & ENGINEERING,2.1
5746,CRETACEOUS RESEARCH,2.1
5747,CRYOGENICS,2.1
5748,Current Alzheimer Research,2.1
5749,CURRENT NEUROVASCULAR RESEARCH,2.1
5750,CURRENT OPINION IN OBSTETRICS & GYNECOLOGY,2.1
5751,Current Opinion in Supportive and Palliative Care,2.1
5752,CyTA-Journal of Food,2.1
5753,Diagnostic and Interventional Radiology,2.1
5754,DOMESTIC ANIMAL ENDOCRINOLOGY,2.1
5755,Drug Metabolism and Pharmacokinetics,2.1
5756,EASTERN MEDITERRANEAN HEALTH JOURNAL,2.1
5757,ENDOCRINE RESEARCH,2.1
5758,Endokrynologia Polska,2.1
5759,EUROPEAN JOURNAL OF CANCER CARE,2.1
5760,European Journal of Environmental and Civil Engineering,2.1
5761,EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,2.1
5762,EUROPEAN JOURNAL OF MINERALOGY,2.1
5763,European Journal of Trauma and Emergency Surgery,2.1
5764,EXPERIMENTAL PARASITOLOGY,2.1
5765,FEMS MICROBIOLOGY LETTERS,2.1
5766,Genes & Genomics,2.1
5767,GENES TO CELLS,2.1
5768,GENETIC EPIDEMIOLOGY,2.1
5769,GENETICS AND MOLECULAR BIOLOGY,2.1
5770,GEO-MARINE LETTERS,2.1
5771,Geotechnique Letters,2.1
5772,GYNECOLOGIC AND OBSTETRIC INVESTIGATION,2.1
5773,HEALTH ECONOMICS,2.1
5774,HIGH ALTITUDE MEDICINE & BIOLOGY,2.1
5775,HIGH PERFORMANCE POLYMERS,2.1
5776,HUMAN MOVEMENT SCIENCE,2.1
5777,IBIS,2.1
5778,IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,2.1
5779,IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY,2.1
5780,IEEE TRANSACTIONS ON MAGNETICS,2.1
5781,IMA JOURNAL OF NUMERICAL ANALYSIS,2.1
5782,IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-ANIMAL,2.1
5783,INFORMS JOURNAL ON COMPUTING,2.1
5784,INHALATION TOXICOLOGY,2.1
5785,INTERNAL MEDICINE JOURNAL,2.1
5786,International Journal for Numerical Methods in Biomedical Engineering,2.1
5787,International Journal of Applied Ceramic Technology,2.1
5788,International Journal of Applied Glass Science,2.1
5789,INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING,2.1
5790,International Journal of Coal Preparation and Utilization,2.1
5791,INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS,2.1
5792,INTERNATIONAL JOURNAL OF CONTROL,2.1
5793,INTERNATIONAL JOURNAL OF HEMATOLOGY,2.1
5794,INTERNATIONAL JOURNAL OF LEGAL MEDICINE,2.1
5795,International Journal of Performance Analysis in Sport,2.1
5796,INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,2.1
5797,INVERSE PROBLEMS,2.1
5798,IRISH JOURNAL OF MEDICAL SCIENCE,2.1
5799,IRONMAKING & STEELMAKING,2.1
5800,Issues in Mental Health Nursing,2.1
5801,Japanese Journal of Radiology,2.1
5802,Journal of Applied Clinical Medical Physics,2.1
5803,JOURNAL OF COASTAL CONSERVATION,2.1
5804,Journal of Comparative Effectiveness Research,2.1
5805,JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORA,2.1
5806,Journal of Complex Networks,2.1
5807,Journal of Computational Electronics,2.1
5808,JOURNAL OF DAIRY RESEARCH,2.1
5809,JOURNAL OF ELECTRONIC MATERIALS,2.1
5810,Journal of Energetic Materials,2.1
5811,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & E,2.1
5812,JOURNAL OF EVOLUTIONARY BIOLOGY,2.1
5813,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,2.1
5814,Journal of Eye Movement Research,2.1
5815,JOURNAL OF FLUENCY DISORDERS,2.1
5816,Journal of Gastrointestinal and Liver Diseases,2.1
5817,Journal of Gastrointestinal Oncology,2.1
5818,JOURNAL OF INTERVENTIONAL CARDIOLOGY,2.1
5819,JOURNAL OF LASER APPLICATIONS,2.1
5820,JOURNAL OF LAW MEDICINE & ETHICS,2.1
5821,Journal of Managed Care & Specialty Pharmacy,2.1
5822,JOURNAL OF MEDICAL ENTOMOLOGY,2.1
5823,Journal of Optics,2.1
5824,JOURNAL OF PALEOLIMNOLOGY,2.1
5825,JOURNAL OF PEPTIDE SCIENCE,2.1
5826,Journal of Physics A-Mathematical and Theoretical,2.1
5827,JOURNAL OF PLANKTON RESEARCH,2.1
5828,JOURNAL OF PLANT NUTRITION,2.1
5829,JOURNAL OF RECONSTRUCTIVE MICROSURGERY,2.1
5830,Journal of Survey Statistics and Methodology,2.1
5831,Journal of Systems Engineering and Electronics,2.1
5832,Journal of Systems Science & Complexity,2.1
5833,JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION,2.1
5834,Journal of Thermal Science and Engineering Applications,2.1
5835,JOURNAL OF THERMOPHYSICS AND HEAT TRANSFER,2.1
5836,Journal of Transcultural Nursing,2.1
5837,Journal of Transportation Engineering Part A-Systems,2.1
5838,Journal of Visceral Surgery,2.1
5839,KNOWLEDGE ENGINEERING REVIEW,2.1
5840,LASERS IN MEDICAL SCIENCE,2.1
5841,MATERIALES DE CONSTRUCCION,2.1
5842,Measurement in Physical Education and Exercise Science,2.1
5843,MEDICC Review,2.1
5844,Metabolic Syndrome and Related Disorders,2.1
5845,MICROSURGERY,2.1
5846,MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS-INFORMATION STORAGE AND PROCESS,2.1
5847,MOLECULAR SIMULATION,2.1
5848,Nano Futures,2.1
5849,Natural Computing,2.1
5850,NETWORKS,2.1
5851,NUMERICAL ALGORITHMS,2.1
5852,NUMERISCHE MATHEMATIK,2.1
5853,Open Medicine,2.1
5854,OPHTHALMIC RESEARCH,2.1
5855,OPTIMIZATION AND ENGINEERING,2.1
5856,Orthopaedic Surgery,2.1
5857,OTOLOGY & NEUROTOLOGY,2.1
5858,Pediatrics and Neonatology,2.1
5859,PHARMACOGENOMICS,2.1
5860,PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS,2.1
5861,PHYSIOLOGICAL RESEARCH,2.1
5862,PLANT MOLECULAR BIOLOGY REPORTER,2.1
5863,PM&R,2.1
5864,Polish Journal of Microbiology,2.1
5865,POLYMERS & POLYMER COMPOSITES,2.1
5866,Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability,2.1
5867,Public Health Ethics,2.1
5868,PUBLIC HEALTH NURSING,2.1
5869,R Journal,2.1
5870,Regional Studies in Marine Science,2.1
5871,Reproductive Biology,2.1
5872,Rural and Remote Health,2.1
5873,RUSSIAN JOURNAL OF INORGANIC CHEMISTRY,2.1
5874,SCANDINAVIAN JOURNAL OF CLINICAL & LABORATORY INVESTIGATION,2.1
5875,SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE,2.1
5876,SCANDINAVIAN JOURNAL OF RHEUMATOLOGY,2.1
5877,SCIENCE PROGRESS,2.1
5878,SEED SCIENCE RESEARCH,2.1
5879,Ships and Offshore Structures,2.1
5880,SIAM JOURNAL ON APPLIED DYNAMICAL SYSTEMS,2.1
5881,SIAM Journal on Imaging Sciences,2.1
5882,SKELETAL RADIOLOGY,2.1
5883,SOLID STATE COMMUNICATIONS,2.1
5884,SPE RESERVOIR EVALUATION & ENGINEERING,2.1
5885,STRAIN,2.1
5886,SYNTHETIC COMMUNICATIONS,2.1
5887,Taiwanese Journal of Obstetrics & Gynecology,2.1
5888,TETRAHEDRON,2.1
5889,Thin Solid Films,2.1
5890,Thoracic Surgery Clinics,2.1
5891,Toxicology Research,2.1
5892,Translational Neuroscience,2.1
5893,TRIBOLOGY TRANSACTIONS,2.1
5894,UROLOGY,2.1
5895,VECTOR-BORNE AND ZOONOTIC DISEASES,2.1
5896,Vertebrate Zoology,2.1
5897,Veterinary and Comparative Oncology,2.1
5898,Welding in the World,2.1
5899,World Journal Of Emergency Medicine,2.1
5900,4OR-A Quarterly Journal of Operations Research,2
5901,ACM Transactions on Asian and Low-Resource Language Information Processing,2
5902,ACM Transactions on Embedded Computing Systems,2
5903,Acta Naturae,2
5904,ACTA ODONTOLOGICA SCANDINAVICA,2
5905,Acta Otorhinolaryngologica Italica,2
5906,ADVANCED ROBOTICS,2
5907,ADVANCES IN CEMENT RESEARCH,2
5908,AEROBIOLOGIA,2
5909,AMERICAN JOURNAL OF MEDICAL GENETICS PART A,2
5910,AMERICAN JOURNAL OF PERINATOLOGY,2
5911,ANALYTICAL LETTERS,2
5912,Anatomical Record-Advances in Integrative Anatomy and Evolutionary Biology,2
5913,ANIMAL SCIENCE JOURNAL,2
5914,Annals of Diagnostic Pathology,2
5915,ANTICANCER RESEARCH,2
5916,APHASIOLOGY,2
5917,AQUACULTURE RESEARCH,2
5918,ARCHIVES OF ANIMAL NUTRITION,2
5919,ARCTIC ANTARCTIC AND ALPINE RESEARCH,2
5920,ARTHROPOD STRUCTURE & DEVELOPMENT,2
5921,Augmentative and Alternative Communication,2
5922,AUSTRALASIAN JOURNAL OF DERMATOLOGY,2
5923,Axioms,2
5924,BIOLOGICAL & PHARMACEUTICAL BULLETIN,2
5925,BIOREMEDIATION JOURNAL,2
5926,BMC Ophthalmology,2
5927,BMC Urology,2
5928,BRITISH POULTRY SCIENCE,2
5929,CANADIAN JOURNAL OF PLANT PATHOLOGY,2
5930,Cell Journal,2
5931,CHIRALITY,2
5932,CLINICAL EEG AND NEUROSCIENCE,2
5933,Clinical Pharmacology in Drug Development,2
5934,CLINICS IN SPORTS MEDICINE,2
5935,Cogent Food & Agriculture,2
5936,Cognitive Neuroscience,2
5937,COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES,2
5938,COMPTES RENDUS BIOLOGIES,2
5939,Computational Economics,2
5940,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,2
5941,CONTEMPORARY PHYSICS,2
5942,CURRENT EYE RESEARCH,2
5943,Current Treatment Options in Neurology,2
5944,Demonstratio Mathematica,2
5945,DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,2
5946,Early Intervention in Psychiatry,2
5947,Earth Interactions,2
5948,ECOLOGICAL RESEARCH,2
5949,ENDOCRINE JOURNAL,2
5950,EUROPEAN BIOPHYSICS JOURNAL WITH BIOPHYSICS LETTERS,2
5951,EUROPEAN JOURNAL OF HISTOCHEMISTRY,2
5952,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,2
5953,EXPERIMENTAL BRAIN RESEARCH,2
5954,Facial Plastic Surgery & Aesthetic Medicine,2
5955,FISHERIES MANAGEMENT AND ECOLOGY,2
5956,Folia Horticulturae,2
